Masa muestra;;;9,5192;2,6;;;;EDTA trazable;;;;;;9.5 mL buffer 1 M;;
;;;4,547856117;4,593794057;;;;Tip de 5000 uL con punta de 10 uL incolora;;;;;;220 uL tartrato 1M;;
masa;potencial;;;0,482581946;4,5941;1,000066599;;electrodo de referencia doble con adaptaci’on de altura;;;;;;;;
0;-170;;;;;;;Potencial medido con titrino plus 848;;;;;;;;
4,542;-198,1;;4542;-0,006186702;;;;agitador en velocidad 8;;;;;;;;
4,5523;-200,4;;10,3;-0,223300971;;;;;;;;;;;;150,0878
4,5629;-203,5;;10,6;-0,29245283;;;;PAUSA DE UNA HORA Y MEDIA;;;;;;;;1.501.491
4,5738;-208,4;;10,9;-0,449541284;;;;;;;;;;;;133,0613
4,5773;-210,8;;3,5;-0,685714286;;;;;;;;;;;;
4,5792;-212,2;;1,9;-0,736842105;;;;;;;;;;;;
4,5835;-216,8;;4,3;-1,069767442;;;;;;;;;;;;
4,5869;-222,7;;3,4;-1,735294118;;;;;;;;;;;;
4,5903;-230;;3,4;-2,147058824;;;;;;;;;;;;
4,5941;-242,7;;3,8;-3,342105263;;;;;;;;;;;;
4,5974;-246,7;;3,3;-1,212121212;;;;;;;;;;;;
4,6021;-248,6;;4,7;-0,404255319;;;;;;;;;;;;
4,6129;-250,1;;10,8;-0,138888889;;;;;;;;;;;;
4,6233;-250,5;;10,4;-0,038461538;;;;;;;;;;;;
